日期,来源类型,网站名称,DA,行业相关度,链接类型,链接URL,联系邮箱,提交状态,发布状态,备注
2025-12-23,本地目录,Google My Business,100,高,Dofollow,待提交,business.google.com,待提交,待发布,一级优先-必做
2025-12-23,本地目录,LinkedIn Company,99,高,Dofollow,待提交,linkedin.com/company,待提交,待发布,一级优先-必做
2025-12-23,本地目录,Facebook Business,96,中,Dofollow,待提交,business.facebook.com,待提交,待发布,一级优先-必做
2025-12-23,本地目录,Yelp Hong Kong,93,中,Dofollow,待提交,biz.yelp.com,待提交,待发布,一级优先-必做
2025-12-23,本地目录,Crunchbase,92,高,Dofollow,待提交,crunchbase.com/add,待提交,待发布,一级优先-必做
2025-12-23,本地目录,HK88DB,45,高,Dofollow,待提交,hk88db.com,待提交,待发布,二级优先-推荐
2025-12-23,本地目录,香港黃頁,42,高,Dofollow,待提交,yp.com.hk,待提交,待发布,二级优先-推荐
2025-12-23,本地目录,Clutch,71,高,Dofollow,待提交,clutch.co,待提交,待发布,二级优先-推荐
2025-12-23,本地目录,G2,86,高,Dofollow,待提交,g2.com,待提交,待发布,二级优先-推荐
2025-12-23,本地目录,Capterra,85,高,Dofollow,待提交,capterra.com,待提交,待发布,二级优先-推荐
2025-12-23,本地目录,GetApp,77,高,Dofollow,待提交,getapp.com,待提交,待发布,二级优先-推荐
2025-12-23,本地目录,AlternativeTo,72,高,Dofollow,待提交,alternativeto.net,待提交,待发布,三级优先-可选
2025-12-23,本地目录,Product Hunt,90,高,Dofollow,待提交,producthunt.com,待提交,待发布,三级优先-可选
2025-12-23,本地目录,SaaSHub,48,高,Dofollow,待提交,saashub.com,待提交,待发布,三级优先-可选
2025-12-23,本地目录,FinancesOnline,68,高,Dofollow,待提交,financesonline.com,待提交,待发布,三级优先-可选
2025-12-23,客座博客,Accounting Today,78,高,Dofollow,待确认,editor@accountingtoday.com,Pitch准备中,待发布,Tier 1-会计博客
2025-12-23,客座博客,CPA Practice Advisor,72,高,Dofollow,待确认,editor@cpapracticeadvisor.com,Pitch准备中,待发布,Tier 1-会计博客
2025-12-23,客座博客,QuickBooks Blog,85,高,Dofollow,待确认,guest@intuit.com,Pitch准备中,待发布,Tier 1-会计博客
2025-12-23,客座博客,AccountingWEB,68,高,Dofollow,待确认,webeditor@accountingweb.com,Pitch准备中,待发布,Tier 1-会计博客
2025-12-23,客座博客,HKStartup,45,高,Dofollow,待确认,hello@hkstartup.io,Pitch准备中,待发布,Tier 3-香港媒体
2025-12-23,客座博客,TechNode,62,中,Dofollow,待确认,tips@technode.com,Pitch准备中,待发布,Tier 3-亚洲科技
2025-12-23,客座博客,e27,68,中,Dofollow,待确认,news@e27.co,Pitch准备中,待发布,Tier 3-东南亚
2025-12-23,媒体PR,TechCrunch,94,中,Dofollow,待确认,tips@techcrunch.com,新闻稿准备中,待发布,Tier 1-主流科技
2025-12-23,媒体PR,TechInAsia,75,高,Dofollow,待确认,tips@techinasia.com,新闻稿准备中,待发布,Tier 2-亚洲科技
2025-12-23,媒体PR,HKStartup,45,高,Dofollow,待确认,hello@hkstartup.io,新闻稿准备中,待发布,Tier 3-香港本地
2025-12-23,媒体PR,SCMP,88,高,Dofollow,待确认,scmp@scmp.com,新闻稿准备中,待发布,Tier 3-香港主流

统计信息:
总目标链接数: 25个
一级优先(必做): 5个
二级优先(推荐): 6个
三级优先(可选): 4个
客座博客目标: 7个
媒体PR目标: 4个

状态说明:
提交状态: 待提交 | Pitch准备中 | 已发送Pitch | Pitch被接受 | 已提交内容 | 已发布
发布状态: 待发布 | 审核中 | 已发布 | 被拒绝

更新日期: 2025-12-23
负责人: [填写负责人]


